First Name,Last Name,Phone,Country,College,Enrollment Status,Counsellor,Fee Currency,Fee Amount,Fee Paid,Balance Due,Fee Payment Status,Student ID,Deadline Date
tunde,AMPOFO,,Uganda,LPU,Pending,PRIYA,Rs,75000,28962,,,EDO2220,22-03-2026
Kofi,boateng,+27119191508,South Africa,Sharda University,Pending,Akshay,,"$1,500",272,,,EDO9153,11-03-2026
Sipho,Okeke,+255272442317,Tanzania,Chitkara University,Inactive,Mayank,usd,3000,2292,,,EDO6794,01-08-2026
Amara,Achieng,+250588357628,Rwanda,Sharda University,Pending,Unknown,,1500 USD,427,,,EDO8412,20-05-2026
WANJIRU,GIRMA,+254417649069,Kenya,SRM UNIVERSITY,Dropped,mayank,,Rs.60000,0,,,EDO5289,19-03-2025
grace,BARRY,,South Africa,Not Assigned,Inactive,ABDUL,,Rs.45000,3207,,,EDO5978,18-08-2025
KOFI,adjei,796400142,Zambia,Not Assigned,On Hold,Not Assigned,USD,1500,0,,,EDO9243,23-12-2024
Ruth,Tadesse,+233742256828,Ghana,SRM Chennai,Deferred,Priya,$,75000,0,,,EDO3438,08-09-2025
kofi,mabaso,+255653238979,Tanzania,,Enrolled,akshay,,"$3,000",3000,,,EDO2370,31-08-2024
Grace,,+27563899277,South Africa,Bennett University,In Progress,Mayank,,INR 45000,2504,,,EDO4772,21-06-2026
HALIMA,Fall,+237 941 945 442,Cameroon,UPES,Active,Unknown,,1500 USD,74,,,EDO6570,20-02-2024
fatima,Annan,,Zimbabwe,Manipal University,In Progress,MAYANK,,USD 2000,575,,,EDO5911,18-09-2026
yemi,Mensah,672028421,Nigeria,,Enrolled,PRIYA,,"$2,500",540,,,EDO2312,06-12-2026
Amara,Mutua,+233527152663,Ghana,manipal university,Active,Unknown,,USD 2500,2500,,,EDO1208,31-07-2024
RUTH,wanjiru,27791257,Cameroon,SRM UNIVERSITY,Inactive,MAYANK,USD,1500,281,,,EDO2813,12-Mar-2024
ZARA,OKAFOR,+251200529357,Ethiopia,VIT University,Pending,Akshay,INR,75000,75000,,,EDO4166,17-10-2025
hope,CELE,,Malawi,bennett university,Deferred,Abdul,,USD 2000,473,,,EDO5694,01-05-2026
Halima,UCHE,+267334382421,Botswana,LPU,Waitlisted,Priya,INR,1500,217,,,EDO7396,31-03-2024
YUSUF,Mwangi,+263799951013,Zimbabwe,AMITY UNIVERSITY,On Hold,Abdul,USD,1500,335,,,EDO1070,29-01-2025
Rutendo,Alemu,+27 514 299 380,South Africa,upes,Waitlisted,Abdul,,1500 USD,262,,,EDO3205,11-01-2025
Hassan,adeyemi,+234069559291,Nigeria,bennett university,Waitlisted,mayank,USD,3000,3000,,,EDO8140,03-07-2024
NIA,phiri,27942146185,South Africa,Chitkara University,Enrolled,Manan,usd,1500,0,,,EDO3750,07-06-2026
KEMI,KAPINGA,+233768645159,Ghana,VIT University,Dropped,Vivek,,2500 USD,107,,,EDO9961,30-03-2026
TUNDE,KARIUKI,+27 912 697 246,South Africa,Sharda University,Active,Not Assigned,,2500 USD,2500,,,EDO5045,16-11-2024
ABRAHAM,mwale,+256940496429,Uganda,UPES,Active,Vivek,,1500 USD,0,,,EDO5626,10-Mar-2026
OMAR,KARIUKI,,Malawi,sharda university,Enrolled,Abdul,USD,2500,2500,,,EDO1980,15-04-2024
Thabo,Adeyemi,+254200960588,Kenya,amity university,Waitlisted,Priya,inr,2500,2500,,,EDO2448,02-04-2025
Esther,Zulu,+234890348924,Nigeria,Manipal University,Enrolled,Manan,,"$2,000",1480,,,EDO4123,10-07-2026
ADE,,+254397168073,Kenya,SRM Chennai,Enrolled,Mayank,,USD 1500,1500,,,EDO3930,25-07-2024
SIPHO,Abebe,+233890194409,Ghana,Bennett University,Pending,Unknown,,USD 750,238,,,EDO9700,23-01-2026
Ibrahim,Dike,+250 661 916 113,Rwanda,VIT UNIVERSITY,In Progress,vivek,,2500 USD,1858,,,EDO4254,31-07-2026
EBUKA,tadesse,+264530465068,Namibia,,Waitlisted,vivek,$,3000,3000,,,EDO2283,24-12-2026
AMINATA,alemu,+265894996637,Malawi,LPU,Active,abdul,,USD 3000,3000,,,EDO2290,17-07-2026
SADE,obi,,Kenya,Amity Noida,In Progress,Not Found,INR,45000,22522,,,EDO8071,24-09-2024
Grace,Kamau,+267806948755,Botswana,SRM University,Pending,akshay,INR,75000,50468,,,EDO9145,29-06-2025
Ade,,27689086098,South Africa,Lovely Professional University,Inactive,priya,USD,1000,144,,,EDO9998,07-10-2025
joy,Boateng,,Kenya,Amity Noida,Dropped,Manan,USD,2500,1872,,,EDO1484,06-01-2025
Kariuki,Kamau,234454048045,Nigeria,Amity University,Dropped,Akshay,,1500 USD,610,,,EDO5656,07-03-2024
Wanjiru,wanjiru,,Malawi,upes,Inactive,Manan,,INR 75000,58680,,,EDO4881,26-03-2025
OLUMIDE,ADEYEMI,619522860,Cameroon,LPU,Enrolled,Unknown,,USD 3000,768,,,EDO1268,17-04-2025
Isaac,Toure,255002786897,Tanzania,Chitkara University,Active,VIVEK,,75000 INR,75000,,,EDO2394,14-04-2024
Kwame,Owino,,Namibia,sharda university,Inactive,Abdul,,INR 60000,11995,,,EDO4856,28-07-2024
MOSES,obi,330463716,Ethiopia,Amity University,In Progress,manan,,USD 3000,710,,,EDO5763,05-10-2026
Njoroge,Camara,+251262783109,Ethiopia,VIT UNIVERSITY,On Hold,manan,,"$2,500",713,,,EDO1575,27-04-2025
grace,,+234 063 417 264,Nigeria,VIT University,In Progress,Manan,INR,45000,16530,,,EDO3035,26-01-2025
LINET,OMONDI,251541109578,Ethiopia,SRM University,Applied,Priya,,USD 2000,2000,,,EDO5839,18-11-2025
binta,mabaso,+267100685726,Botswana,lpu,Inactive,Not Assigned,USD,2000,253,,,EDO4009,25-05-2026
ngozi,sithole,27131478170,South Africa,vit university,Applied,Mayank,$,1000,525,,,EDO4098,15-07-2025
FEMI,Ndlovu,+255 277 136 609,Tanzania,Amity University,Dropped,Akshay,,USD 2000,1401,,,EDO9284,24-03-2024
ngozi,bekele,+260313554271,Zambia,Bennett University,Enrolled,Abdul,USD,3000,1484,,,EDO7136,09-Dec-2025
Victor,,,Malawi,lpu,Dropped,Manan,USD,2500,385,,,EDO4288,25-09-2026
Wanjiru,cele,+251571087315,Ethiopia,SRM University,Enrolled,abdul,,USD 1000,105,,,EDO3728,09-08-2025
mutua,Mutua,125660354,South Africa,AMITY UNIVERSITY,Inactive,vivek,,USD 1000,1000,,,EDO5177,12-04-2026
FAITH,nwachukwu,250095970997,Rwanda,Bennett University,Active,Not Assigned,,INR 45000,1977,,,EDO1781,10-03-2024
solomon,,+234 646 031 052,Nigeria,upes,Pending,mayank,,75000 INR,0,,,EDO2820,10-03-2025
daniel,kariuki,723074816,Cameroon,SRM Chennai,Pending,Manan,USD,750,750,,,EDO6528,04-May-2024
FAITH,,,Zimbabwe,Manipal University,On Hold,PRIYA,USD,2000,0,,,EDO5207,22-04-2026
Chidi,Wanjiru,+250 379 408 433,Rwanda,LPU,In Progress,priya,INR,45000,45000,,,EDO3749,13-06-2026
Olumide,BELLO,571617495,Ghana,VIT UNIVERSITY,Pending,mayank,,USD 1500,1500,,,EDO1907,06-04-2025
SOLOMON,Uche,93412114,Ghana,Sharda University,Pending,Vivek,,2500 USD,2500,,,EDO9441,30-11-2024
PEACE,Alemu,254229152379,Kenya,SHARDA UNIVERSITY,Enrolled,Abdul,,Rs.75000,0,,,EDO9754,24-06-2024
MWANGI,Mabaso,,Ghana,VIT University,Waitlisted,Unknown,,"$2,500",2500,,,EDO3644,05-04-2024
Grace,AMPOFO,855469044,Cameroon,,Pending,priya,,"$1,500",178,,,EDO1276,21-11-2026
Thabo,fall,+264006141787,Namibia,BENNETT UNIVERSITY,Enrolled,mayank,INR,60000,60000,,,EDO1533,04-12-2025
Adaeze,Asante,+264 337 344 324,Namibia,VIT University,Inactive,MANAN,,Rs.75000,12629,,,EDO2466,28-05-2025
Yusuf,Dike,+255740632128,Tanzania,upes,Pending,Manan,,INR 45000,45000,,,EDO7299,19-07-2025
Wanjiru,mthembu,254880607529,Kenya,AMITY NOIDA,On Hold,Abdul,,Rs.45000,36653,,,EDO1914,30-06-2025
yemi,Mumba,988872251,Tanzania,Amity Noida,Enrolled,Priya,USD,2000,1686,,,EDO3494,18-03-2026
Kamau,,+256160004740,Uganda,BENNETT UNIVERSITY,Dropped,Vivek,INR,45000,4835,,,EDO5070,23-07-2024
Peace,fall,+267661730951,Botswana,chitkara university,Deferred,ABDUL,,USD 750,750,,,EDO3551,11-04-2025
Musa,Kapinga,,Tanzania,LPU,On Hold,Abdul,INR,75000,0,,,EDO3743,14-02-2025
Aisha,Camara,+263303870989,Zimbabwe,SRM Chennai,Pending,Mayank,,USD 750,0,,,EDO9496,17-12-2026
ABENA,,256035867626,Uganda,Bennett University,Applied,Not Found,$,3000,169,,,EDO3401,24-12-2026
Aisha,Kapinga,,Nigeria,CHITKARA UNIVERSITY,Enrolled,Vivek,,Rs.60000,0,,,EDO3192,04-09-2025
Ruth,fall,+260068949808,Zambia,AMITY UNIVERSITY,Active,Unknown,,"$2,500",1621,,,EDO2336,26-10-2024
Njoroge,mumba,+237751087693,Cameroon,bennett university,Dropped,Priya,,2500 USD,2500,,,EDO8258,27-05-2024
MOSES,Boateng,+267767881088,Botswana,,In Progress,Mayank,USD,2000,2000,,,EDO2012,20-02-2024
Isaac,Otieno,+27531967259,South Africa,amity university,Waitlisted,Not Assigned,INR,75000,75000,,,EDO5855,14-06-2026
Omondi,Owusu,+267 142 942 991,Botswana,LPU,Enrolled,Abdul,INR,60000,26568,,,EDO6821,14-09-2025
isaac,,,Zambia,AMITY UNIVERSITY,Dropped,vivek,,INR 45000,45000,,,EDO3686,21-07-2026
Halima,kariuki,509788497,Zimbabwe,Bennett University,Active,Mayank,,INR 45000,4653,,,EDO7058,29-11-2024
Zanele,Nkosi,,Tanzania,Lovely Professional University,Active,Unknown,USD,750,533,,,EDO9219,18-09-2026
kemi,MABASO,+234840175592,Nigeria,Manipal University,Dropped,Akshay,,USD 1000,0,,,EDO2322,18-08-2024
lebo,mwangi,237258390921,Cameroon,Bennett University,Dropped,Manan,,Rs.75000,13147,,,EDO2186,14-06-2025
emeka,,264383230862,Namibia,UPES,On Hold,Priya,,1500 USD,416,,,EDO9747,15-02-2026
mutua,nwachukwu,27130240669,South Africa,UPES,Enrolled,Akshay,,USD 1000,0,,,EDO5291,30-09-2025
Samuel,mabaso,,Cameroon,AMITY UNIVERSITY,Pending,Akshay,,USD 1500,1232,,,EDO7133,08-Apr-2026
Tendai,OKEKE,,Tanzania,Lovely Professional University,Applied,Akshay,,2500 USD,2500,,,EDO3741,14-05-2025
Tunde,kariuki,+264 531 019 516,Namibia,amity university,On Hold,Vivek,,INR 45000,8822,,,EDO4769,02-04-2025
ESTHER,omondi,+264943438240,Namibia,SRM UNIVERSITY,Applied,Akshay,USD,2500,0,,,EDO4000,14-11-2025
Ngozi,KEBEDE,+255556564622,Tanzania,Chitkara University,Inactive,MANAN,USD,2500,733,,,EDO5133,08-06-2026
Aminata,,,Cameroon,vit university,Waitlisted,Abdul,,USD 1500,281,,,EDO2329,31-05-2024
Chisom,Zulu,818907082,Malawi,LOVELY PROFESSIONAL UNIVERSITY,Inactive,Priya,INR,1500,0,,,EDO8886,09-02-2026
rutendo,diallo,,Kenya,Not Assigned,Active,priya,,Rs.45000,7697,,,EDO5285,24-10-2024
Zara,Khumalo,+234532869190,Nigeria,Manipal University,Enrolled,PRIYA,INR,45000,22167,,,EDO2086,01-09-2025
Otieno,Mutua,234958999624,Nigeria,Lovely Professional University,Dropped,Manan,,"$1,000",0,,,EDO6037,17-01-2025
ruth,Girma,+267249350213,Botswana,srm chennai,Dropped,Manan,,INR 45000,45000,,,EDO2539,02-11-2025
BLESSING,asante,,South Africa,lpu,Deferred,Mayank,,Rs.60000,0,,,EDO5786,23-11-2024
Peace,barry,+263 665 657 183,Zimbabwe,vit university,Active,Akshay,USD,1000,749,,,EDO1073,28-04-2026
KARIUKI,owino,+260448218128,Zambia,Sharda University,Pending,vivek,$,45000,9066,,,EDO9136,07-Mar-2025
FEMI,OWINO,+237743200138,Cameroon,AMITY NOIDA,Pending,Vivek,USD,2000,141,,,EDO9068,27-11-2025
Tunde,Okafor,630663407,Malawi,Bennett University,In Progress,Vivek,,USD 1000,1000,,,EDO4639,25-04-2024
DANIEL,BALDE,999766023,Namibia,Not Assigned,Inactive,Abdul,USD,3000,273,,,EDO2722,09-08-2025
yemi,Otieno,+265798535061,Malawi,,Pending,Not Found,,750 USD,173,,,EDO2435,30-01-2025
Rutendo,KAPINGA,+250 758 671 122,Rwanda,sharda university,Enrolled,Priya,,USD 1000,61,,,EDO3312,06-10-2026
Omondi,BOATENG,+260 161 616 606,Zambia,SRM CHENNAI,In Progress,Vivek,,$750,319,,,EDO5413,09-May-2024
ESTHER,TOURE,,Malawi,LPU,Inactive,Vivek,,1000 USD,49,,,EDO9775,08-03-2025
mwangi,phiri,,Malawi,SRM CHENNAI,Enrolled,Priya,,INR 60000,60000,,,EDO7314,22-07-2024
Ruth,uche,255484181009,Tanzania,,Waitlisted,priya,Rs,75000,0,,,EDO5224,02-01-2024
Victor,khumalo,,Ethiopia,Sharda University,In Progress,AKSHAY,,USD 1500,333,,,EDO1626,13-08-2026
Binta,Ampofo,27464301998,South Africa,Amity University,Waitlisted,Mayank,,USD 1000,0,,,EDO8119,27-06-2025
NGOZI,BARRY,,Uganda,UPES,Active,Mayank,,USD 2500,2500,,,EDO2145,23-04-2026
DANIEL,Nwosu,,South Africa,Manipal University,In Progress,Manan,USD,1000,1000,,,EDO2826,09-08-2025
Kariuki,OBI,,Ghana,Amity University,Enrolled,Unknown,,2000 USD,372,,,EDO2589,24-09-2024
Kwame,Barry,+251473604032,Ethiopia,Manipal University,Active,ABDUL,USD,2000,2000,,,EDO1337,21-08-2026
wanjiru,Barry,+264666244947,Namibia,Amity Noida,Dropped,manan,INR,60000,60000,,,EDO7335,08-03-2024
AMARA,,153035731,Tanzania,LPU,On Hold,Mayank,USD,3000,3000,,,EDO7111,05-11-2024
Amara,Kebede,462429956,Malawi,SRM CHENNAI,Enrolled,mayank,,1000 USD,286,,,EDO1638,10-11-2026
Ibrahim,MTHEMBU,+233321076854,Ghana,LPU,Pending,Mayank,,Rs.45000,45000,,,EDO2213,22-10-2024
amira,Dlamini,+263 136 144 543,Zimbabwe,amity noida,Enrolled,Akshay,$,3000,0,,,EDO8982,21-05-2026
Sade,owusu,+251067367908,Ethiopia,SRM CHENNAI,In Progress,Vivek,Rs,2000,2000,,,EDO7408,29-12-2024
ruth,Khumalo,,Rwanda,Amity University,Active,Vivek,,USD 2500,1469,,,EDO2869,22-12-2024
Linet,,+267678033525,Botswana,VIT University,Enrolled,Akshay,INR,60000,43222,,,EDO4550,20-10-2026
Emmanuel,OWINO,+255 378 798 620,Tanzania,Lovely Professional University,Applied,Vivek,,45000 INR,45000,,,EDO8127,26-06-2024
moses,Adeyemi,+233999654423,Ghana,Manipal University,Inactive,Abdul,Rs,75000,33801,,,EDO1290,07-12-2026
Ibrahim,Mokoena,788246680,Tanzania,,Pending,ABDUL,,Rs.75000,75000,,,EDO4242,09-04-2025
blessing,Eze,+234374152778,Nigeria,Amity University,Waitlisted,PRIYA,USD,3000,953,,,EDO8570,02-08-2025
Halima,Girma,+256656765099,Uganda,Bennett University,Enrolled,Abdul,,"$1,000",1000,,,EDO4483,02-Feb-2025
OMAR,Mumba,+254 453 194 190,Kenya,AMITY NOIDA,Active,Priya,,1000 USD,384,,,EDO2128,10-07-2025
ABRAHAM,kamau,+263047963886,Zimbabwe,sharda university,Dropped,Abdul,,"$1,000",0,,,EDO8338,16-07-2026
Olumide,KARIUKI,,Ethiopia,UPES,On Hold,priya,,USD 1000,233,,,EDO6164,12-03-2026
Moses,Adeyemi,265438683518,Malawi,Sharda University,Pending,mayank,,2000 USD,0,,,EDO5409,18-12-2025
Solomon,Balde,,Rwanda,,Applied,Vivek,USD,2000,2000,,,EDO5922,12-02-2024
emmanuel,mabaso,+267030879111,Botswana,Sharda University,On Hold,Vivek,USD,1500,415,,,EDO7640,18-02-2024
Halima,ADEYEMI,786665395,Ghana,SRM Chennai,Dropped,Not Found,USD,2500,2500,,,EDO2747,23-05-2026
Wanjiru,MUMBA,+260194155125,Zambia,Lovely Professional University,Active,Not Found,usd,750,484,,,EDO9163,20-02-2024
Fatima,MUMBA,260084663827,Zambia,Bennett University,In Progress,Vivek,,$750,410,,,EDO8534,31-10-2025
Faith,Ndiaye,,Kenya,Chitkara University,Enrolled,Priya,,INR 60000,60000,,,EDO1729,20-05-2026
Musa,Kariuki,,Malawi,SRM University,Deferred,akshay,INR,2000,0,,,EDO3311,18-09-2025
Yusuf,Gyasi,255519831847,Tanzania,Amity Noida,Pending,Mayank,,USD 750,208,,,EDO7797,06-09-2024
Sade,GYASI,94938776,Botswana,SRM University,Applied,Priya,INR,45000,0,,,EDO3469,07-01-2026
Joy,Diop,250164809676,Rwanda,LPU,Enrolled,Abdul,,USD 2500,1013,,,EDO4517,14-04-2024
Thabo,camara,,Cameroon,VIT University,Waitlisted,Priya,,2000 USD,2000,,,EDO7243,22-04-2024
Abena,obi,,Kenya,UPES,Deferred,ABDUL,,750 USD,750,,,EDO5626,17-03-2024
Kofi,Mwale,+251783928197,Ethiopia,UPES,On Hold,ABDUL,,USD 2500,0,,,EDO6189,24-07-2026
MWANGI,Balde,+263199810426,Zimbabwe,bennett university,Pending,Vivek,,"$2,000",2000,,,EDO7375,01-05-2025
Ngozi,otieno,+254478879050,Kenya,UPES,Inactive,AKSHAY,,INR 45000,7889,,,EDO7897,27-08-2026
Blessing,Nwachukwu,+254 360 026 927,Kenya,vit university,Active,Vivek,USD,2500,1402,,,EDO4715,21-09-2025
samuel,Otieno,+27 449 847 057,South Africa,Not Assigned,Active,Mayank,,1500 USD,0,,,EDO8601,17-11-2025
Mwangi,Okeke,51860403,Namibia,Manipal University,Active,AKSHAY,inr,2000,1369,,,EDO9710,20-10-2025
Ngozi,BELLO,+237336950228,Cameroon,UPES,Enrolled,Manan,INR,3000,1820,,,EDO2438,05-Jun-2024
Peace,toure,,Cameroon,Manipal University,On Hold,Vivek,INR,60000,0,,,EDO1375,29-03-2025
LEBO,Dike,254068743133,Kenya,Amity University,Deferred,VIVEK,INR,45000,45000,,,EDO3242,16-02-2024
ibrahim,TESFAYE,,Botswana,,Active,priya,$,60000,60000,,,EDO3832,25-02-2025
Emmanuel,Mumba,237969195366,Cameroon,Amity University,Pending,MANAN,INR,60000,60000,,,EDO9096,01-Sep-2025
Chisom,Owino,251111383,Kenya,lpu,Enrolled,Not Found,USD,750,750,,,EDO1926,04-06-2024
Musa,DIOP,,Uganda,VIT University,On Hold,Akshay,,USD 2500,369,,,EDO6409,07-Jun-2024
Aminata,MUMBA,+264594135065,Namibia,Not Assigned,Pending,mayank,,Rs.75000,0,,,EDO7112,11-02-2026
Adaeze,Appiah,+254393073281,Kenya,LPU,Dropped,MANAN,,"$1,000",1000,,,EDO2418,08-09-2026
GRACE,Fall,146914991,Uganda,Bennett University,Dropped,Akshay,,"$1,000",1000,,,EDO8448,04-Sep-2025
Mwangi,OKEKE,27908354312,South Africa,SRM University,Active,AKSHAY,,USD 1000,1000,,,EDO2715,21-08-2025
Omondi,asante,464364572,Ethiopia,LOVELY PROFESSIONAL UNIVERSITY,Deferred,vivek,,"$1,000",1000,,,EDO1659,08-09-2025
Musa,Ndlovu,220975348,Zimbabwe,Sharda University,Enrolled,Priya,INR,60000,60000,,,EDO3145,26-04-2024
abraham,Owino,255554562354,Tanzania,lovely professional university,Enrolled,Unknown,USD,1000,1000,,,EDO3124,25-10-2025
thabo,Cele,+267 532 848 204,Botswana,Amity University,Deferred,priya,USD,1500,1500,,,EDO4026,13-12-2026
YEMI,eze,,Malawi,LPU,Applied,Akshay,USD,2500,139,,,EDO9349,12-02-2025
KAMAU,DIOP,627649673,Cameroon,amity noida,Active,Abdul,Rs,75000,18453,,,EDO5416,09-Apr-2024
Tunde,Barry,+251 962 429 641,Ethiopia,Amity University,Inactive,Abdul,USD,2500,2500,,,EDO8841,29-05-2026
mutua,kamau,263266275473,Zimbabwe,Manipal University,Active,manan,INR,60000,60000,,,EDO5524,28-10-2026
MUSA,mensah,264559842846,Namibia,Bennett University,Enrolled,Manan,INR,75000,75000,,,EDO8446,05-07-2026
Olumide,Otieno,+256380773709,Uganda,srm chennai,Dropped,Akshay,USD,1000,329,,,EDO3341,02-Oct-2026
GRACE,Adjei,260642174428,Zambia,Amity Noida,Enrolled,Mayank,,750 USD,0,,,EDO2141,21-12-2024
AMINATA,owino,+256624931666,Uganda,AMITY UNIVERSITY,Active,Mayank,,INR 60000,0,,,EDO7843,16-12-2024
Zanele,Kapinga,,Tanzania,AMITY UNIVERSITY,Applied,Vivek,USD,2000,2000,,,EDO1333,07-04-2024
EMEKA,GIRMA,267226511246,Botswana,CHITKARA UNIVERSITY,Pending,Mayank,USD,750,521,,,EDO1352,05-04-2024
Kamau,mwale,,Ghana,LPU,Pending,Vivek,,75000 INR,18736,,,EDO9025,09-04-2025
samuel,OBI,622806280,Uganda,Amity University,Dropped,ABDUL,inr,1500,1500,,,EDO6589,04-May-2024
hope,Mthembu,265904206547,Malawi,BENNETT UNIVERSITY,Active,Akshay,,INR 60000,0,,,EDO1658,29-07-2025
nkechi,Toure,+264871367779,Namibia,bennett university,Dropped,ABDUL,USD,750,95,,,EDO8318,29-09-2025
Yemi,Okeke,267533534417,Botswana,Bennett University,Inactive,Mayank,USD,1500,1500,,,EDO1059,25-10-2026
omar,ABEBE,,Malawi,SRM University,In Progress,Not Assigned,USD,2500,2500,,,EDO9819,30-10-2024
Ebuka,Cele,,Cameroon,Sharda University,Deferred,Akshay,,2000 USD,2000,,,EDO4767,11-Jan-2025
hope,Asante,433156286,Kenya,SRM University,Active,Akshay,,3000 USD,2430,,,EDO1942,08-08-2025
Femi,Mwale,+251514467939,Ethiopia,Amity University,Enrolled,Manan,,Rs.45000,0,,,EDO5998,23-06-2026
KOFI,BALDE,+265 568 983 611,Malawi,Bennett University,Pending,Abdul,USD,2000,0,,,EDO7851,02-03-2024
Faith,Owusu,+256824026574,Uganda,Amity Noida,In Progress,priya,INR,45000,0,,,EDO1012,22-12-2024
Faith,ampofo,+233133070908,Ghana,lovely professional university,Enrolled,Akshay,,INR 75000,12105,,,EDO5242,23-04-2024
NOMSA,,+250 766 218 691,Rwanda,Lovely Professional University,Applied,Unknown,,USD 750,750,,,EDO1592,05-06-2024
thabo,Diallo,+265846107287,Malawi,CHITKARA UNIVERSITY,Applied,Vivek,Rs,75000,0,,,EDO7757,10-07-2025
Kariuki,Zungu,+237076848664,Cameroon,Not Assigned,Deferred,Priya,inr,2000,0,,,EDO9715,26-01-2025
Victor,OKAFOR,,Uganda,SRM CHENNAI,Inactive,Not Found,USD,2000,595,,,EDO8257,23-09-2025
AISHA,BELLO,204147266,South Africa,VIT University,Active,Vivek,USD,3000,0,,,EDO4281,14-12-2026
olumide,kamau,+250168077531,Rwanda,vit university,Enrolled,Vivek,USD,2500,342,,,EDO3037,16-05-2025
AMIRA,,510613414,Uganda,,Enrolled,VIVEK,,INR 75000,50622,,,EDO1534,29-02-2024
Omondi,Balde,+251549149670,Ethiopia,amity university,Inactive,Priya,,Rs.75000,18078,,,EDO2156,29-03-2026
solomon,Mwangi,,Rwanda,Amity Noida,Pending,abdul,USD,2500,357,,,EDO3876,26-02-2024
omar,mumba,+255781692568,Tanzania,manipal university,Pending,Priya,USD,750,750,,,EDO8854,28-04-2026
tunde,TADESSE,+263105746243,Zimbabwe,LPU,Enrolled,MANAN,USD,3000,370,,,EDO6087,29-03-2024
Yusuf,NJOROGE,541922049,South Africa,Amity University,In Progress,MAYANK,,"$1,000",1000,,,EDO6558,10-10-2024
Mwangi,Barry,+255391713596,Tanzania,Sharda University,Waitlisted,Abdul,,INR 75000,43729,,,EDO4732,10-09-2025
Zanele,Ndlovu,+251898483407,Ethiopia,srm university,Enrolled,Priya,,USD 3000,884,,,EDO4797,19-06-2024
OTIENO,kapinga,,Nigeria,Bennett University,Waitlisted,Manan,USD,750,0,,,EDO1190,16-02-2024
Sade,Zungu,255022114868,Tanzania,Not Assigned,On Hold,Priya,,1500 USD,359,,,EDO3115,11-07-2026
Olumide,Mwale,190482436,Namibia,VIT University,Active,vivek,,INR 60000,0,,,EDO1544,19-07-2025
fatima,Annan,450085947,Ethiopia,Amity Noida,Enrolled,manan,INR,75000,75000,,,EDO9736,10-08-2025
joy,mbewe,27703999671,South Africa,SRM Chennai,Dropped,Abdul,USD,1500,107,,,EDO3822,29-08-2025
Lebo,Mvula,336948779,Cameroon,SRM Chennai,Deferred,Abdul,,USD 750,473,,,EDO8692,23-04-2024
Thabo,Nkosi,+265077074572,Malawi,SRM Chennai,On Hold,Akshay,,1500 USD,1500,,,EDO7008,16-01-2026
tunde,bello,+250796196507,Rwanda,SRM CHENNAI,Enrolled,abdul,,USD 1000,154,,,EDO4046,07-06-2026
NIA,wanjiru,260457644364,Zambia,Not Assigned,Dropped,ABDUL,USD,2500,0,,,EDO3349,16-09-2026
Mwangi,camara,+265442927254,Malawi,UPES,Dropped,Akshay,INR,45000,19116,,,EDO3834,19-01-2025
Nia,SITHOLE,264889059987,Namibia,manipal university,Enrolled,Priya,USD,3000,3000,,,EDO5422,27-03-2026
Kwame,Mokoena,+27618764426,South Africa,SHARDA UNIVERSITY,Enrolled,Akshay,,USD 3000,0,,,EDO6369,18-09-2026
ADAEZE,Mensah,+234763364680,Nigeria,SRM Chennai,Dropped,Not Found,,USD 1500,922,,,EDO1005,23-12-2025
OMAR,mwangi,+255 229 285 796,Tanzania,Sharda University,On Hold,Priya,USD,1500,0,,,EDO9232,22-08-2024
ABRAHAM,TESFAYE,,Ethiopia,SRM University,Pending,vivek,,USD 2500,386,,,EDO1443,07-12-2025
Omar,Phiri,256231039101,Uganda,SRM University,Waitlisted,AKSHAY,usd,60000,6978,,,EDO8652,29-05-2025
Halima,kapinga,+254831274065,Kenya,Chitkara University,In Progress,VIVEK,,USD 2000,2000,,,EDO7242,04-07-2025
Moses,BELLO,+263672155564,Zimbabwe,chitkara university,Inactive,Abdul,,USD 3000,163,,,EDO1246,17-05-2025
Victor,OWINO,267858336476,Botswana,SHARDA UNIVERSITY,Enrolled,priya,usd,2000,482,,,EDO9374,01-11-2026
Emeka,mbewe,+260102377037,Zambia,VIT University,Enrolled,Unknown,INR,1500,850,,,EDO1955,08-May-2024
faith,Banda,+251926369711,Ethiopia,Amity University,Enrolled,vivek,USD,3000,614,,,EDO9016,09-05-2025
Kwame,MTHEMBU,88111040,Ethiopia,Bennett University,Enrolled,Vivek,,$750,750,,,EDO9999,07-05-2026
isaac,Abebe,+233 377 967 401,Ghana,Lovely Professional University,Dropped,Vivek,,USD 1000,783,,,EDO8023,13-04-2024
MUSA,gyasi,+263315424300,Zimbabwe,Manipal University,Waitlisted,mayank,,INR 45000,0,,,EDO4794,14-03-2024
Kamau,,256912526458,Uganda,SRM University,Deferred,Priya,,45000 INR,45000,,,EDO2920,11-Dec-2026
JOY,MUTUA,+237833685543,Cameroon,SRM University,On Hold,manan,USD,750,0,,,EDO3333,04-Dec-2025
chisom,abebe,+27142728010,South Africa,Bennett University,Enrolled,MAYANK,,USD 2000,975,,,EDO6796,07-11-2024
Moses,NWOSU,255081417791,Tanzania,chitkara university,Dropped,priya,,USD 3000,70,,,EDO4022,23-02-2024
RUTENDO,uche,,Botswana,CHITKARA UNIVERSITY,Waitlisted,Priya,INR,45000,37216,,,EDO3619,27-12-2025
